Ingredients,Total Quantity (Kg)
?duja Salami,2.54
Alfredo Sauce,1.2850000000000001
Anchovies,3.295
Artichokes,10.485
Arugula,0.705
Asiago Cheese,6.2
Bacon,28.67
Barbecue Sauce,2.425
Barbecued Chicken,6.95
Beef Chuck Roast,10.66
Blue Cheese,1.68
Brie Carre Cheese,1.11
Calabrese Salami,15.1
Capocollo,62.1
Caramelized Onions,0.592
Chicken,80.8
Chipotle Sauce,7.33
Chorizo Sausage,5.35
Cilantro,3.665
Coarse Sicilian Salami,11.48
Corn,24.54
Eggplant,2.96
Feta Cheese,9.97
Fontina Cheese,5.84
Friggitello Peppers,0.635
Garlic,23.835
Genoa Salami,8.790000000000001
Goat Cheese,12.94
Gorgonzola Piccante Cheese,5.46
Gouda Cheese,4.41
Green Olives,4.745
Green Peppers,6.84
Italian Sausage,1.07
Jalapeno Peppers,5.87
Kalamata Olives,3.07
Luganega Sausage,5.74
Mozzarella Cheese,11.559999999999999
Mushrooms,25.86
Onions,2.87
Oregano,1.24
Pancetta,3.8100000000000005
Parmigiano Reggiano Cheese,12.96
Pears,0.37
Peperoncini verdi,1.9949999999999999
Pepperoni,24.97
Pesto Sauce,4.21
Pineapple,10.004999999999999
Plum Tomatoes,3.5
Prosciutto,1.11
Prosciutto di San Daniele,1.66
Provolone Cheese,1.68
Red Onions,68.67999999999999
Red Peppers,14.475
Ricotta Cheese,6.825
Romano Cheese,1.68
Sliced Ham,3.125
Smoked Gouda Cheese,1.68
Soppressata Salami,7.15
Spinach,25.005
Sun-dried Tomatoes,1.49
Thai Sweet Chilli Sauce,4.17
Thyme,0.185
Tomatoes,47.839999999999996
Zucchini,4.21
